,history_id,station_name,province,lon,lat,elevation (m),Tmean,Tmin (degC),Tmax (degC),HDD (degC-day),rlon,rlat
823,6317,MIDDLEPORT TS,ON,-80.0333,43.1167,206,8,-17,28,3844,12.316670694692613,-3.0383087763253003
824,6320,MILLGROVE,ON,-79.9667,43.3167,255,8,-17,26,3937,12.320899701268427,-2.8325470237412183
825,6336,ORANGEVILLE MOE,ON,-80.0864,43.9184,412,6,-19,27,4433,12.106430139619064,-2.2636477744192036
826,6344,OSHAWA WPCP,ON,-78.8333,43.8667,84,8,-17,26,3787,12.998996944329729,-2.113258297105187
827,6395,PICTON,ON,-77.1333,44.0167,76,8,-20,26,3989,14.151747243967074,-1.6734444404721234
828,6407,RICHMOND HILL,ON,-79.4478,43.8772,240,8,-18,27,3916,12.564815949223863,-2.2032653790882666
829,6433,STOUFFVILLE WPCP,ON,-79.25,43.9667,267,7,-20,27,4146,12.683738271548572,-2.084160802863321
830,6436,TORONTO,ON,-79.4,43.6667,113,9,-16,28,3488,12.645432657636889,-2.4007826199030635
831,6479,TORONTO ISLAND A,ON,-79.395,43.6286,77,9,-16,25,3698,12.657472533066505,-2.4371144169958994
832,6490,TORONTO MALVERN,ON,-79.2333,43.8,160,8,-18,27,3885,12.73301417766345,-2.24387654203197
833,6520,TRENTON A,ON,-77.5333,44.1167,86,8,-20,26,4050,13.848380542642577,-1.647919910661428
834,6528,TYRONE,ON,-78.7333,44.0167,206,7,-21,25,4277,13.034488807523276,-1.9506957967676675
835,6542,WOODBRIDGE,ON,-79.6,43.7833,164,7,-19,25,4209,12.478488442384476,-2.3191600885020183
836,6543,WOOLER,ON,-77.7178,44.2006,123,8,-21,27,4044,13.699452523724991,-1.5989571666107039
837,6548,MOUNTAINVIEW,ON,-77.3017,44.052,108,8,-20,26,3867,14.02564779032217,-1.6694849297937964
838,6551,TORONTO BUTTONVILLE A,ON,-79.37,43.8622,198,8,-18,27,3951,12.62287891217746,-2.2053809803339703
839,6556,NAPANEE,ON,-76.9667,44.2333,80,8,-20,27,4108,14.21300261615781,-1.4337203913822272
840,6558,TORONTO NORTH YORK,ON,-79.4678,43.78,187,9,-17,27,3723,12.57237144415825,-2.3012399580428746
841,6577,HALIBURTON 3,ON,-78.5311,45.0322,330,5,-25,24,4889,12.938661086656456,-0.929498972966488
842,6585,LINDSAY FROST,ON,-78.7403,44.3384,262,7,-22,26,4309,12.955200183926335,-1.638869579923607
843,6588,MINDEN,ON,-78.7167,44.9333,274,6,-24,25,4654,12.833953903344092,-1.0562070565687953
844,6596,PETERBOROUGH A,ON,-78.3667,44.2333,191,6,-21,26,4417,13.239909508912735,-1.6786484471005159
845,6601,PETERBOROUGH STP,ON,-78.3167,44.2833,192,7,-20,26,4171,13.262919317046434,-1.6216103317267434
846,6602,PETERBOROUGH TORRANCE,ON,-78.3167,44.2333,655,7,-22,26,4299,13.27473792446178,-1.6701946477138876
847,6603,PETERBOROUGH TRENT U,ON,-78.3,44.3667,198,7,-21,27,4283,13.254811521010158,-1.5377497104263818
