,id,station_name,province,lon,lat,elev,SL50 (kPa),rlon,rlat
145,3476,WHITECOURT A,AB,-115.787,54.1439,782,2.8,-10.980979499107141,7.97302083337573
146,3508,BEAVERLODGE CDA,AB,-119.4,55.2,745,2.9,-12.7402776438216,9.539950230363896
147,3554,FAIRVIEW,AB,-118.383,56.0667,670,2.6,-11.935249413927469,10.212029191845676
148,3569,FORT VERMILION CDA,AB,-116.03299999999999,58.3833,279,2.3,-10.070287881930062,12.11878653105197
149,3584,GRANDE PRAIRIE A,AB,-118.885,55.1797,669,2.7,-12.46008114715757,9.437642625030247
150,3595,HIGH LEVEL A,AB,-117.165,58.6214,338,2.6,-10.594224739549533,12.498830656358052
151,3651,PEACE RIVER A,AB,-117.447,56.2269,571,1.9,-11.381198804475845,10.226946829363605
152,3742,COLD LAKE A,AB,-110.28299999999999,54.4167,541,1.7,-7.751283756222322,7.579601901793152
153,3766,BROADVIEW,SK,-102.571,50.3681,600,1.2,-3.5550168868492085,2.995535908365118
154,3808,ESTEVAN A,SK,-102.96700000000001,49.2167,580,1.5,-3.895667948011195,1.8662740844535828
155,3814,FENWOOD,SK,-103.06700000000001,51.15,625,1.6,-3.8097930656591097,3.7987314058440207
156,3863,LEROY,SK,-104.633,52.0,535,2.1,-4.7067675930473545,4.731195483550668
157,3884,MOOSE JAW A,SK,-105.56700000000001,50.3333,577,1.0,-5.464582646908156,3.1345694278645513
158,3928,REGINA CDA,SK,-104.56700000000001,50.4,573,1.2,-4.82227641711188,3.1348148797529256
159,3977,WEYBURN,SK,-103.833,49.65,570,2.0,-4.421666135144434,2.3444152303763364
160,3979,WHITEWOOD,SK,-102.26700000000001,50.35,598,2.7,-3.362546462664063,2.9639579026062517
161,3985,WYNYARD,SK,-104.2,51.7667,561,0.8,-4.46219952097385,4.473443711760957
162,3992,YORKTON A,SK,-102.46700000000001,51.2667,498,2.5,-3.42540834014595,3.887198018830976
163,4012,BEECHY,SK,-107.311,50.832,660,1.7,-6.505263198283556,3.7636991911369555
164,4086,ROCK POINT,SK,-107.26299999999999,51.1539,725,0.7,-6.432663915289442,4.078796581815819
