,ilocy,ilocx,TJan2.5 (degC),rlat,rlon,lat,lon,station_name,ratio,model_vals,best_tol
153,718,987,238.74999999999997,2.7939506024780143,9.406987093709729,49.4139,-82.4675,KAPUSKASING A,0.9925374203788875,241.42058886228216,1.0036396586208232
154,718,1298,252.34999999999997,2.804635508720081,23.185237070177262,45.2331,-63.0553,UPPER STEWIACKE RCS,0.9902502241132702,255.7620909197537,1.0036396586208232
155,719,1291,251.95,2.853505215275901,22.845728161553936,45.4167,-63.4667,DEBERT,0.9913639571958577,255.06980575001782,1.0036396586208232
156,720,1161,239.45,2.8986000488602337,17.08311893214299,47.5622,-71.2289,L'ETAPE,0.981881513282167,244.75612689093782,1.0036396586208232
157,721,663,241.64999999999998,2.945341829186303,-4.932903235660575,50.2006,-104.71,BRATT'S LAKE CLIMATE,0.999732778578009,242.5943499128726,1.0036396586208232
158,721,961,237.64999999999998,2.9296590159790448,8.264570518409494,49.7468,-84.1637,NAGAGAMI (AUT),0.9888670754135234,241.20022882903314,1.0036396586208232
159,721,1179,249.95,2.968983998361158,17.9164480090112,47.3558,-70.0319,LA POCATIERE,1.0194424736033132,246.07541785618167,1.0036396586208232
160,721,1276,252.95,2.9483979876506776,22.21049334934004,45.7596,-64.2414,NAPPAN AUTO,1.0001335647361302,253.83674800986913,1.0036396586208232
161,722,694,240.04999999999998,2.995535908365118,-3.5550168868492085,50.3681,-102.571,BROADVIEW,0.9969289331426104,241.6658721023041,1.0036396586208232
162,722,723,239.45,3.008132497519388,-2.2962437089641146,50.4549,-100.603,SHOAL LAKE CS,0.995107828701872,241.50299025408924,1.0036396586208232
163,722,760,241.45,3.003904372048266,-0.6603151832297092,50.4995,-98.0367,OAKPOINT MARINE,1.0051833915024848,241.07918776073282,1.0036396586208232
164,723,594,242.64999999999998,3.044682502865987,-8.003292419347964,49.9025,-109.46600000000001,MAPLE CREEK,0.9916593496579797,245.58147235574046,1.0036396586208232
165,723,789,241.95,3.0264850883257903,0.6511626422645601,50.5222,-95.9772,GREAT FALLS CLIMATE,1.0090636160304427,240.64946109005493,1.0036396586208232
166,724,564,245.74999999999997,3.098854685759743,-9.295091002394907,49.7342,-111.45,BOW ISLAND,0.9981867709154981,247.092481379867,1.0036396586208232
167,725,651,242.2,3.132757897675771,-5.455457025132438,50.332499999999996,-105.55250000000001,MOOSE JAW A,0.9996388507747198,243.16934573878882,1.0036396586208232
168,725,774,240.14999999999998,3.133305678730048,-0.021184950172724877,50.6333,-97.03335,GIMLI,1.0035311417032224,240.1759686388183,1.0036396586208232
169,725,775,243.24999999999997,3.1311012949986092,0.011307615739156248,50.6311,-96.9822,GIMLI HARBOUR CS,1.0165811042301058,240.15333940758995,1.0036396586208232
170,725,1267,250.24999999999997,3.143485364303546,21.790230230835956,46.1053,-64.6838,MONCTON A,0.9939176434178106,252.69782283589177,1.0036396586208232
171,726,489,259.84999999999997,3.170292165436488,-12.649333957750157,49.0817,-116.501,CRESTON CAMPBELL SCIENTIFIC,1.0636194502466811,245.19649883436745,1.0036396586208232
172,726,545,244.54999999999998,3.16518878430455,-10.173529005346774,49.6303,-112.8,LETHBRIDGE A,0.9919017129950068,247.44395064570054,1.0036396586208232
173,726,664,240.14999999999998,3.1741915710209807,-4.882522538616095,50.4333,-104.667,REGINA COMPOSITE,0.9955412325904399,242.10354742478717,1.0036396586208232
