,ilocy,ilocx,HDD (degC-day),rlat,rlon,lat,lon,station_name,ratio,model_vals,best_tol
461,715,754,5993.15,2.69047932872118,-0.8860081616431726,50.1826,-98.3822,DELTA MARSH CS,1.101466034867943,5317.588166147743,0.9773062166686053
462,715,776,5765.15,2.667271777948411,0.08458005588984939,50.1672,-96.8681,SELKIRK,1.0445443032762194,5394.043045713754,0.9773062166686053
463,715,788,5957.65,2.682532987171596,0.601651839374645,50.1789,-96.0615,PINAWA WNRE,1.0813529223807417,5384.4108257615135,0.9773062166686053
464,715,921,6636.15,2.703334463357099,6.489334819136607,49.7828,-86.9306,GERALDTON A,1.1299288068889242,5739.786976139034,0.9773062166686053
465,715,1163,6704.15,2.6832756820036425,17.21270812915398,47.3167,-71.15,FORET MONTMORENCY,1.1677885341295362,5610.611237386967,0.9773062166686053
466,715,1183,5965.15,2.703352660024468,18.08230500135852,47.05,-69.9333,STE PERPETUE,1.145526049601529,5089.171198148325,0.9773062166686053
467,715,1252,4837.15,2.664054980218771,21.13762929121664,45.9167,-65.8167,COLES ISLAND,1.1026114155446396,4287.436806214669,0.9773062166686053
468,716,536,4855.15,2.7356797825074115,-10.557344241186216,49.1317,-113.242,CARDSTON,0.8644947715783262,5488.7183056013055,0.9773062166686053
469,716,701,5772.15,2.7385247186657162,-3.2382989077168,50.1333,-102.05,WAPELLA PIPESTONE,1.020360881094509,5528.591092685361,0.9773062166686053
470,716,707,5872.15,2.7231770710861136,-2.9929964009400494,50.1333,-101.667,MOOSOMIN,1.0375487126668101,5531.199287462747,0.9773062166686053
471,716,739,6018.15,2.7417748980488845,-1.5799271982076977,50.2167,-99.4667,NEEPAWA WATER,1.0923445879050286,5384.358995291261,0.9773062166686053
472,716,848,6153.15,2.724053173483273,3.2714077284853,50.1167,-91.9,SIOUX LOOKOUT A,1.0555697564600677,5696.934485183803,0.9773062166686053
473,716,1309,4834.15,2.745014568619623,23.65676532780182,44.9833,-62.4833,MALAY FALLS,1.5158222642776,3116.7538296846965,0.9773062166686053
474,717,526,4953.15,2.748913296689618,-11.007181290188687,49.05,-113.917,CAMERON FALLS,0.7883482813534167,6140.362580332683,0.9773062166686053
475,717,592,5422.15,2.791091450100094,-8.07580326635713,49.6406,-109.514,CYPRESS HILLS PARK,1.042337651542418,5083.862119792217,0.9773062166686053
476,717,988,6536.15,2.7844182733983796,9.431461031270734,49.4,-82.4333,KAPUSKASING CDA,1.1431659746935703,5587.832536557766,0.9773062166686053
