,ilocy,ilocx,Q10_Gumbel-MM,rlat,rlon,lat,lon,station_name,ratio,model_vals,best_tol
74,703,1165,0.175,2.1451633278208866,17.296217277429587,46.78027778,-71.2875,STE-FOY (U. LAVAL),1.1957046185189726,0.14225332441992958,0.971959754334786
75,703,1297,0.321,2.1285387762167187,23.143738029513393,44.63333333,-63.5,SHEARWATER A,0.6471979425297333,0.48207675061811955,0.971959754334786
76,707,813,0.16899999999999998,2.3172352583415843,1.703488929625912,49.78833333,-94.36305556,KENORA A,1.2505124318080993,0.13135511035670053,0.971959754334786
77,708,576,0.32899999999999996,2.3773235953818492,-8.77507302987451,49.11666667,-110.46666670000002,ONEFOUR CDA,0.9942245884851388,0.3216323181700554,0.971959754334786
78,708,675,0.302,2.392352772509108,-4.39599211308612,49.7,-103.8,WEYBURN,0.7252232705248723,0.4047468658812684,0.971959754334786
79,708,1295,0.35200000000000004,2.352354449005868,23.037177573707574,44.88111111,-63.50861111,HALIFAX INTL A,0.8991529402836863,0.3805023797374242,0.971959754334786
80,709,740,0.213,2.4288519831726374,-1.519417526912051,49.90580556,-99.35744444,CARBERRY CS,0.7866980049140359,0.26315997546724645,0.971959754334786
81,709,756,0.27149999999999996,2.4083164808904542,-0.8221767079430446,49.901569445,-98.27540278000001,PORTAGE SOUTHPORT A,0.8430420481710613,0.3130176885890621,0.971959754334786
82,709,771,0.284,2.4102388711197187,-0.1546942168317851,49.91,-97.24,WINNIPEG INTL A,0.8493008205172525,0.32501625285486446,0.971959754334786
83,709,837,0.17600000000000002,2.402703651893969,2.7463410647526323,49.8275,-92.74416667,DRYDEN REGIONAL,1.199638360520645,0.142597071244604,0.971959754334786
84,709,1242,0.203,2.4301608295874497,20.69102009227779,45.86888889,-66.53722222,FREDERICTON,1.6249592048067922,0.12142325145536283,0.971959754334786
85,710,732,0.303,2.446136788495766,-1.902443550978571,49.91,-99.95222222,BRANDON A,1.1716288367201504,0.2513627151648743,0.971959754334786
86,710,1171,0.431,2.4557024255946307,17.536467226809375,46.99666667,-70.80833333,ILE D'ORLEANS,3.1049044074118615,0.13492030644108788,0.971959754334786
87,712,599,0.354,2.5373799207670418,-7.770516223099108,49.43778056,-108.988625,EASTEND CYPRESS (AUT),0.937176445938463,0.36713871173956797,0.971959754334786
88,712,644,0.31,2.5616574714663254,-5.774843358851855,49.72919167,-105.9461139,ASSINIBOIA AIRPORT,0.8232712877907995,0.3659881357606007,0.971959754334786
89,712,1109,0.061,2.5545142294849863,14.795061306408192,47.92222444,-74.62416861,PARENT,0.567353931169619,0.1045018669249274,0.971959754334786
