,ilocy,ilocx,SL50 (kPa),rlat,rlon,lat,lon,station_name,ratio,model_vals,best_tol
111,680,1254,1.5,1.117162822865409,21.200383894095932,44.46076667,-66.56365,METEGHAN RIVER composite,1.2173790399776507,0.8772367566164025,0.7119530937351894
112,681,1132,3.6,1.1542596729610621,15.834532095958147,46.2833,-73.75,ST COME,1.0912332178895037,2.348747357969642,0.7119530937351894
113,683,1178,3.4,1.2606717705989359,17.84366708527203,45.7667,-70.95,ST SEBASTIEN,0.9548544467181491,2.535088491255842,0.7119530937351894
114,684,1138,3.5,1.29909797368146,16.07911852243818,46.35,-73.35,ST CHARLES DE MANDEVILLE,1.1518451351443793,2.1633427550664797,0.7119530937351894
115,684,1150,2.9,1.3081477460879134,16.607760775956216,46.2,-72.6167,NICOLET,1.1514619813801243,1.7930804535616327,0.7119530937351894
116,684,1182,2.7,1.3054290288877226,18.025092727207987,45.75,-70.6833,ST LUDGER,0.7608193191843498,2.5265832565159094,0.7119530937351894
117,685,855,2.9,1.3728805146422267,3.547520198421301,48.75,-91.6167,ATIKOKAN,1.1210712466260448,1.8416884547220558,0.7119530937351894
118,686,1105,3.4,1.3913321643034506,14.630169131697288,46.85,-75.3333,STE ANNE DU LAC,1.0789161221578065,2.243585454871525,0.7119530937351894
119,687,1166,2.9,1.4353865918581943,17.319534723993772,46.1,-71.5833,ST FERDINAND,0.8951711347141385,2.3064460992605325,0.7119530937351894
120,688,1033,5.2,1.464268420428553,11.450362801068342,47.7,-79.85,EARLTON A,1.7580571430387522,2.1058223858548266,0.7119530937351894
121,688,1149,2.9,1.4827451771107225,16.55193535398155,46.3833,-72.6167,TROIS RIVIERES AQUEDUC,1.0590928614430337,1.9494645342230956,0.7119530937351894
122,688,1169,4.7,1.4868129159530434,17.472963414579834,46.1,-71.35,THETFORD MINES,1.3739847161235492,2.435383378933089,0.7119530937351894
123,689,1140,3.1,1.5150610464679561,16.15629574000493,46.5333,-73.15,ST ALEXIS DES MONTS,0.987427500882839,2.235156088528833,0.7119530937351894
124,690,1149,4.1,1.5858719669451118,16.564190208663554,46.47778333,-72.55415833,RIVIERE A PIERRE composite,1.4504558461004,2.012476072375542,0.7119530937351894
125,691,1182,2.7,1.6268592987363577,18.036246116246513,46.05,-70.5167,ST COME DE LINIERE,0.7409914841209436,2.5941908838067844,0.7119530937351894
126,691,1284,2.5,1.6142468085780268,22.551400289984592,44.4,-64.55,BRIDGEWATER,1.880699453372945,0.9463940297030653,0.7119530937351894
127,692,949,3.1,1.6822521533276675,7.721167762872969,48.6,-85.2833,WHITE RIVER,0.8887788768084643,2.4832437495639503,0.7119530937351894
128,692,1150,3.8,1.664176253985097,16.626426689197242,46.5333,-72.4333,ST NARCISSE,1.3178879378551465,2.0528465876975663,0.7119530937351894
129,692,1179,2.4,1.6796607608428853,17.883321299254668,46.15,-70.7,ST GEORGES,0.6585407499823213,2.5946570884342766,0.7119530937351894
130,692,1246,4.7,1.6654751578683622,20.850317762178534,45.1,-66.7333,PENNFIELD,2.1122018016186996,1.5842139411068694,0.7119530937351894
131,693,746,2.1,1.7062631912498636,-1.2453482523306831,49.191,-98.9049,PILOT MOUND (AUT),1.2182145668386852,1.2272891307840335,0.7119530937351894
132,693,758,2.2,1.6882373082187547,-0.7083728658870007,49.1833,-98.0833,MORDEN CDA,1.2650162693626235,1.2381633692399807,0.7119530937351894
133,693,1156,3.5,1.6981108675439935,16.892890608074847,46.4833,-72.05,FORTIERVILLE,1.2068449758707822,2.0647522075279086,0.7119530937351894
134,694,1153,3.1,1.7540822281724946,16.741931706325044,46.5833,-72.2333,STE ANNE DE LA PERADE,1.0663064782697007,2.0698126059971824,0.7119530937351894
135,695,1172,4.5,1.7744012915046719,17.594713197903786,46.3333,-71.05,ST SEVERIN,1.3252445842143163,2.417507651018056,0.7119530937351894
136,695,1181,2.9,1.788085543520356,17.992307149959434,46.2167,-70.5,ST PROSPER,0.7896213189207616,2.614752061980786,0.7119530937351894
137,696,1236,4.7,1.8336806041740799,20.412222624117724,45.4179375,-67.2232875,MAGAGUADAVIC LAKE composite,1.824731337175526,1.8337929931838024,0.7119530937351894
138,697,686,1.5,1.8662740844535828,-3.895667948011195,49.2167,-102.96700000000001,ESTEVAN A,1.1523279778604238,0.9267584065655113,0.7119530937351894
139,697,1157,3.6,1.9009426839342536,16.922755381469877,46.6667,-71.9167,DESCHAMBAULT,1.110455534935811,2.3080898395403433,0.7119530937351894
140,698,1154,4.1,1.912824438817077,16.798519081378075,46.7167,-72.0833,ST ALBAN,1.2411974280578981,2.3517674290395916,0.7119530937351894
141,699,756,1.6,1.956539149126066,-0.8130760493526549,49.45,-98.25,MIAMI THIESSEN,0.9199028810377562,1.2383100145215757,0.7119530937351894
142,699,780,2.2,1.9687963517466125,0.2366741605794048,49.46824211,-96.63602632,SPRUCE TCPL 43 composite,1.1729567172792652,1.3353406678556092,0.7119530937351894
143,699,1148,3.9,1.9884978888085978,16.545808996887292,46.8667,-72.4,LAC AUX SABLES,1.1086942687735608,2.5044028311238016,0.7119530937351894
144,699,1180,4.6,1.9845023376234565,17.948131049345225,46.4167,-70.4667,STE GERMAINE,1.2287076771859649,2.6653892475730028,0.7119530937351894
145,701,1163,5.2,2.054217978278324,17.173129500136174,46.7333,-71.5,ST AUGUSTIN,1.5342505375771645,2.4130062181821375,0.7119530937351894
146,701,1168,3.8,2.0641528045347988,17.411163562539105,46.6667,-71.1667,BEAUSEJOUR,1.1021869225501177,2.454594316846198,0.7119530937351894
147,701,1273,2.8,2.0477520185861904,22.08183244528817,44.9833,-64.9167,GREENWOOD A,2.0028323877056233,0.9953247584248327,0.7119530937351894
148,702,1007,4.3,2.1028662985791216,10.272256140147682,48.5697,-81.3767,TIMMINS VICTOR POWER A,1.3644105973772522,2.2437514843010664,0.7119530937351894
149,702,1183,4.0,2.1043623241683953,18.088712820603085,46.4833,-70.2167,ST CAMILLE,1.0349693981615369,2.751590897276244,0.7119530937351894
150,702,1256,2.9,2.0923818993230565,21.32172942210499,45.3181,-65.8856,SAINT JOHN A,1.6635281281310395,1.2411355942334938,0.7119530937351894
151,703,1062,4.2,2.1295758090215102,12.715646487269279,48.0564,-77.7867,VAL-D'OR A,1.290244020173644,2.317548422573094,0.7119530937351894
152,703,1164,4.6,2.142892402870948,17.22771444423007,46.8,-71.3833,QUEBEC/JEAN LESAGE INTL A,1.3167454852608578,2.487180907655112,0.7119530937351894
