,Q10_Gumbel-MM,Location,lat,lon,rlat,rlon
220,0.188,Alexandria,45.31,-74.63,0.046,15.525
221,0.251,Alliston,44.15,-79.87,-2.004,12.208
222,0.131,Almonte,45.23,-76.19,-0.329,14.49
223,0.159,Armstrong,50.3,-89.04,3.06,5.082
224,0.129,Arnprior,45.43,-76.36,-0.167,14.322
225,0.166,Atikokan,48.76,-91.63,1.382,3.538
226,0.161,Attawapiskat,52.92,-82.43,6.243,8.776
227,0.26,Aurora,44.01,-79.45,-2.074,12.534
228,0.096,Bancroft,45.06,-77.85,-0.788,13.4
229,0.235,Barrie,44.39,-79.69,-1.742,12.282
230,0.202,Barriefield,44.24,-76.46,-1.334,14.562
231,0.221,Beaverton,44.43,-79.16,-1.618,12.642
232,0.274,Belleville,44.16,-77.38,-1.579,13.944
233,0.256,Belmont,42.93,-81.09,-3.382,11.599
234,0.339,Bowmanville,43.91,-78.69,-2.047,13.09
235,0.127,Bracebridge,45.06,-79.29,-1.025,12.41
236,0.253,Bradford,44.12,-79.56,-1.984,12.432
237,0.267,Brampton,43.68,-79.76,-2.445,12.388
238,0.281,Brantford,43.14,-80.26,-3.051,12.15
239,0.332,Brighton,44.04,-77.74,-1.759,13.723
240,0.117,Brockville,44.59,-75.68,-0.85,15.008
241,0.124,Burk's Falls,45.62,-79.41,-0.498,12.203
242,0.273,Burlington,43.33,-79.8,-2.793,12.437
243,0.278,Cambridge,43.36,-80.31,-2.844,12.067
244,0.232,Campbellford,44.31,-77.8,-1.507,13.616
245,0.225,Cannington,44.35,-79.04,-1.677,12.744
246,0.131,Carleton Place,45.14,-76.15,-0.408,14.541
247,0.287,Cavan,44.2,-78.47,-1.728,13.176
248,0.29,Centralia,43.28,-81.47,-3.095,11.257
249,0.243,CFB Borden,44.27,-79.91,-1.893,12.154
250,0.158,Chapleau,47.84,-83.4,1.135,9.083
251,0.195,Chatham,42.4,-82.18,-4.059,10.915
252,0.255,Chesley,44.29,-81.08,-2.049,11.331
253,0.296,Clinton,43.62,-81.53,-2.77,11.147
254,0.144,Coboconk,44.66,-78.8,-1.336,12.84
255,0.334,Cobourg,43.96,-78.17,-1.911,13.442
256,0.156,Cochrane,49.06,-81.03,2.629,10.398
257,0.319,Colborne,44.01,-77.89,-1.814,13.626
258,0.247,Collingwood,44.5,-80.22,-1.716,11.888
259,0.142,Cornwall,45.02,-74.73,-0.252,15.538
260,0.196,Corunna,42.88,-82.45,-3.625,10.63
261,0.115,Deep River,46.1,-77.49,0.282,13.39
262,0.252,Deseronto,44.2,-77.05,-1.481,14.164
263,0.26,Dorchester,42.99,-81.05,-3.318,11.616
264,0.279,Dorion,48.78,-88.56,1.582,5.552
265,0.201,Dresden,42.59,-82.18,-3.872,10.879
266,0.174,Dryden,49.78,-92.84,2.352,2.687
267,0.269,Dundalk,44.17,-80.39,-2.064,11.839
268,0.281,Dunnville,42.9,-79.62,-3.184,12.659
269,0.264,Durham,44.18,-80.82,-2.119,11.536
270,0.24,Dutton,42.66,-81.5,-3.707,11.358
271,0.146,Earlton,47.71,-79.82,1.478,11.468
272,0.117,Edison,49.8,-93.55,2.349,2.228
273,0.178,Elliot Lake ,46.39,-82.65,-0.201,9.843
274,0.116,Elmvale,44.58,-74.87,-0.702,15.565
275,0.277,Embro,43.15,-80.9,-3.139,11.69
276,0.148,Englehart,47.82,-79.87,1.578,11.411
277,0.15,Espanola,46.27,-81.77,-0.204,10.462
278,0.295,Exeter,43.35,-81.48,-3.028,11.236
279,0.177,Fenelon Falls,44.53,-78.74,-1.452,12.911
280,0.303,Fergus,43.71,-80.38,-2.512,11.944
281,0.258,Forest,43.1,-82.0,-3.347,10.912
282,0.217,Fort Erie,42.9,-78.97,-3.077,13.124
283,0.228,Fort Erie (Ridgeway),42.88,-79.05,-3.11,13.071
284,0.192,Fort Frances,48.61,-93.4,1.165,2.38
285,0.141,Gananoque,44.33,-76.17,-1.193,14.739
286,0.159,Geraldton,49.7,-86.95,2.62,6.488
287,0.239,Glencoe,42.75,-81.71,-3.649,11.189
288,0.282,Goderich,43.74,-81.71,-2.678,10.995
289,0.325,Gore Bay,45.92,-82.46,-0.639,10.059
290,0.211,Graham,49.25,-90.57,1.924,4.195
291,0.143,Gravenhurst (Muskoka Airport),44.91,-79.37,-1.184,12.389
292,0.283,Grimsby,43.2,-79.58,-2.885,12.622
293,0.291,Guelph,43.54,-80.25,-2.659,12.072
294,0.225,Guthrie,44.47,-79.53,-1.638,12.376
295,0.15,Haileybury,47.45,-79.63,1.253,11.65
296,0.284,Haldimand (Caledonia),43.06,-79.96,-3.082,12.381
297,0.283,Haldimand (Hagersville),42.96,-80.05,-3.194,12.339
298,0.101,Haliburton,45.05,-78.52,-0.91,12.942
299,0.268,Halton Hills (Georgetown),43.64,-79.93,-2.511,12.277
300,0.276,Hamilton,43.26,-79.87,-2.873,12.402
301,0.28,Hanover,44.15,-81.03,-2.179,11.394
302,0.233,Hastings,44.31,-77.96,-1.535,13.505
303,0.154,Hawkesbury,45.61,-74.6,0.34,15.461
304,0.113,Hearst,49.69,-83.67,2.927,8.589
305,0.277,Honey Harbour,44.87,-79.82,-1.293,12.086
306,0.153,Hornepayne,49.22,-84.78,2.346,7.953
307,0.108,Huntsville,45.33,-79.22,-0.751,12.398
308,0.264,Ingersoll,43.04,-80.88,-3.243,11.727
309,0.162,Iroquois Falls,48.76,-80.69,2.381,10.678
310,0.18,Jellicoe,49.69,-87.53,2.563,6.116
311,0.164,Kapuskasing,49.42,-82.43,2.804,9.43
312,0.16,Kemptville,45.02,-75.65,-0.43,14.913
313,0.162,Kenora,49.77,-94.49,2.296,1.622
314,0.112,Killaloe,45.56,-77.42,-0.229,13.571
315,0.291,Kincardine,44.18,-81.63,-2.235,10.966
316,0.2,Kingston,44.23,-76.48,-1.348,14.551
317,0.117,Kinmount,44.78,-78.65,-1.194,12.915
318,0.156,Kirkland Lake,48.15,-80.02,1.879,11.242
319,0.301,Kitchener,43.45,-80.49,-2.783,11.92
320,0.168,Kitchenuhmaykoosib,53.82,-89.88,6.514,4.223
321,0.215,Lakefield,44.42,-78.27,-1.481,13.263
322,0.137,Lansdowne House,52.2,-87.93,5.025,5.566
323,0.187,Leamington,42.06,-82.6,-4.451,10.673
324,0.231,Lindsay,44.36,-78.74,-1.618,12.95
325,0.417,Lion's Head,44.99,-81.25,-1.388,11.071
326,0.311,Listowel,43.73,-80.95,-2.578,11.536
327,0.256,London,42.99,-81.24,-3.346,11.479
328,0.278,Lucan,43.19,-81.41,-3.174,11.317
329,0.117,Maitland,44.63,-75.62,-0.8,15.038
330,0.241,Markdale,44.32,-80.65,-1.957,11.626
331,0.267,Markham,43.86,-79.34,-2.203,12.644
332,0.205,Martin,49.25,-91.13,1.895,3.83
333,0.184,Matheson,48.53,-80.46,2.188,10.875
334,0.112,Mattawa,46.32,-78.71,0.294,12.518
335,0.261,Midland,44.75,-79.89,-1.421,12.064
336,0.265,Milton,43.51,-79.88,-2.63,12.341
337,0.308,Milverton,43.56,-80.92,-2.74,11.592
338,0.11,Minden,44.93,-78.72,-1.06,12.832
339,0.276,Mississauga,43.59,-79.64,-2.514,12.493
340,0.286,Mississauga Port Credit,43.55,-79.58,-2.544,12.544
341,0.296,Mitchell,43.47,-81.19,-2.868,11.418
342,0.191,Moosonee,51.27,-80.65,4.842,10.181
343,0.122,Morrisburg,44.9,-75.18,-0.455,15.266
344,0.294,Mount Forest,43.98,-80.74,-2.303,11.633
345,0.128,Nakina,50.18,-86.71,3.116,6.578
346,0.283,Nanticoke (Jarvis),42.89,-80.11,-3.272,12.311
